X,Y,Z
41,36,49
41,36,49
41,37,47
40,38,49
41,39,50
40,39,47
39,39,44
40,40,45
41,41,44
39,42,43
38,46,44
35,45,43
36,46,42
32,55,45
31,48,40
28,47,40
25,58,42
23,53,40
22,53,42
21,55,40
20,53,39
19,50,39
17,53,38
14,53,39
8,52,39
7,49,38
7,47,35
10,46,32
11,42,29
11,42,29
12,39,30
13,39,31
14,41,29
15,40,30
16,40,30
18,41,31
18,40,31
18,41,31
19,40,30
17,41,30
14,42,29
13,41,30
10,42,29
9,43,29
2,45,28
0,46,29
6,41,30
15,36,30
14,38,34
10,36,36
13,37,34
15,35,34
13,38,36
16,39,35
19,38,34
18,37,35
18,40,33
17,40,33
17,41,33
15,40,34
14,40,33
16,41,33
16,41,34
15,43,35
13,43,34
12,43,34
8,43,34
8,44,32
2,44,33
3,44,33
12,43,34
13,42,32
12,41,31
13,39,32
13,39,32
15,38,31
16,40,31
15,40,31
16,40,31
16,39,31
17,40,32
18,40,31
17,39,31
17,39,32
14,40,32
17,41,33
14,42,31
11,41,32
9,43,33
7,43,32
4,44,31
2,43,30
2,42,30
9,40,30
16,37,32
16,37,33
12,37,33
14,37,31
14,37,32
17,38,33
16,39,34
18,39,32
18,39,32
18,39,34
18,39,34
17,41,35
16,41,35
15,42,34
13,41,33
15,42,35
15,42,36
13,41,36
9,41,36
6,41,36
4,44,32
6,44,32
10,40,32
14,38,29
10,39,29
14,37,29
16,37,30
16,39,30
15,39,30
15,38,30
15,38,30
15,39,30
17,40,31
16,41,31
18,40,31
16,40,31
16,39,31
15,39,30
14,40,31
13,41,31
11,42,30
10,42,29
7,41,29
3,42,29
3,40,29
8,38,30
